last_update,station,city,state,latitude,longitude,aqi,pm25,pm10,no2,so2,co,o3,nh3,timestamp
2026-09-01 23:00:00,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.72,83.3,104,56.75,114.85,58.96,15.26,,22.5,3.89,2026-09-02 00:27:47
2026-09-01 23:00:00,"Sector-18, Panipat - HSPCB",Panipat,Haryana,29.432304,76.972765,367,29.8,102.26,7.18,45.35,24.68,38.32,9.72,2026-09-02 00:27:52
2026-09-01 23:00:00,"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,13.0052189,80.2398125,101,50.28,103.06,12.09,4.98,,10.62,2.78,2026-09-02 00:27:57
2026-09-01 23:00:00,"Narela, Delhi - DPCC",Delhi,Delhi,28.822836,77.101981,500,60.05,100.98,23.54,8.14,60.7,17.27,8.03,2026-09-02 00:28:02
2026-09-01 23:00:00,"HB Colony, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.536107,80.594233,423,47.41,53.33,22.12,9.97,38.07,19.26,4.39,2026-09-02 00:28:07
2026-09-01 23:00:00,"Panchawati_Pashan, Pune - IITM",Pune,Maharashtra,18.536457,73.805454,416,27.56,50.35,7.26,,34.09,10.07,,2026-09-02 00:28:12
2026-09-01 23:00:00,"Kharahiya Basti, Araria - BSPCB",Araria,Bihar,26.146529,87.454184,364,21.97,26.17,15.33,21.33,33.27,41.27,4.26,2026-09-02 00:28:17
2026-09-01 23:00:00,"Bhatagaon New ISBT, Raipur - CECB",Raipur,Chhattisgarh,21.219665,81.630094,445,15.02,43.77,11.81,3.02,38.46,3.12,1.86,2026-09-02 00:28:22
2026-09-01 23:00:00,"Moti Doongri, Alwar - RSPCB",Alwar,Rajasthan,27.554793,76.611536,482,72.76,114.89,74.29,25.65,89.14,43.06,10.66,2026-09-02 00:28:27
2026-09-01 23:00:00,"NSI Kalyanpur, Kanpur - UPPCB",Kanpur,Uttar Pradesh,26.509954,80.249612,229,31.66,44.04,31.89,22.48,13.06,21.5,2.2,2026-09-02 09:45:36
2026-09-01 23:00:00,"Sector-2E Kalamboli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,19.02579,73.10297,306,25.36,37.73,5.88,5.45,19.3,18.64,7.51,2026-09-02 09:45:41
2026-09-01 23:00:00,"Old MIDC, Jalna - MPCB",Jalna,Maharashtra,19.854616,75.905894,342,41.49,93.07,20.97,1.81,22.33,26.17,3.96,2026-09-02 09:45:46
2026-09-01 23:00:00,"Ratandeep Housing Society, Solapur - MPCB",Solapur,Maharashtra,17.65439,75.90649,351,31.5,32.25,15.36,2.2,22.67,25.24,3.1,2026-09-02 09:45:51
2026-09-01 23:00:00,"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,22.5448082,88.3403691,447,151.26,,32.69,4.11,43.99,26.4,6.56,2026-09-02 09:45:56
