last_update,station,city,state,latitude,longitude,aqi,pm25,pm10,no2,so2,co,o3,nh3
2026-09-01 23:00:00,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,312.0,32.0,96.0,32.0,16.0,19.0,25.0,5.0
2026-09-01 23:00:00,"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,14.675886,77.593027,394.0,71.0,75.0,22.0,15.0,33.0,20.0,4.0
2026-09-01 23:00:00,"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,13.20488,79.097889,330.0,69.0,68.0,31.0,24.0,22.0,37.0,6.0
2026-09-01 23:00:00,"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,16.711754,81.092095,324.0,48.0,53.0,17.0,11.0,21.0,19.0,4.0
2026-09-01 23:00:00,"Rajendra Nagar North, Guntur - APPCB",Guntur,Andhra Pradesh,16.316553,80.413302,336.0,56.0,61.0,35.0,12.0,23.0,20.0,7.0
2026-09-01 23:00:00,"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,14.465052,78.824187,394.0,68.0,64.0,19.0,,33.0,32.0,3.0
2026-09-01 23:00:00,"Rama Rao Peta, Kakinada - APPCB",Kakinada,Andhra Pradesh,16.962488,82.229513,300.0,25.0,46.0,49.0,13.0,17.0,26.0,4.0
2026-09-01 23:00:00,"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,15.83411,78.028546,306.0,39.0,39.0,30.0,10.0,18.0,23.0,6.0
2026-09-01 23:00:00,"Srinivas Nagar Colony, Machilipatnam - APPCB",Machilipatnam,Andhra Pradesh,16.186555,81.13219,341.0,46.0,49.0,30.0,10.0,24.0,20.0,3.0
2026-09-01 23:00:00,"Ambedkar Nagar, Nellore - APPCB ",Nellore,Andhra Pradesh,14.438164,79.966814,432.0,68.0,68.0,29.0,12.0,39.0,33.0,7.0
2026-09-01 23:00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176,300.0,38.0,64.0,8.0,5.0,17.0,40.0,2.0
2026-09-01 23:00:00,"Chinna Bharatham Colony, Srikakulam - APPCB",Srikakulam,Andhra Pradesh,18.292191,83.897173,500.0,68.0,84.0,32.0,17.0,82.0,38.0,4.0
2026-09-01 23:00:00,"Toll Gate, Tirumala - APPCB",Tirumala,Andhra Pradesh,13.67,79.35,286.0,18.0,25.0,52.0,6.0,16.0,10.0,2.0
2026-09-01 23:00:00,"Vaikuntapuram, Tirupati - APPCB",Tirupati,Andhra Pradesh,13.615387,79.40923,318.0,52.0,82.0,29.0,21.0,20.0,46.0,4.0
2026-09-01 23:00:00,"HB Colony, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.536107,80.594233,432.0,49.0,52.0,21.0,11.0,39.0,19.0,4.0
2026-09-01 23:00:00,"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.509717,80.612222,347.0,41.0,44.0,31.0,15.0,25.0,27.0,4.0
2026-09-01 23:00:00,"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.554731,80.64911,336.0,61.0,67.0,21.0,12.0,23.0,24.0,4.0
2026-09-01 23:00:00,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,17.72,83.3,108.0,63.0,112.0,64.0,14.0,,25.0,4.0
2026-09-01 23:00:00,"Naharlagun, Naharlagun - APSPCB",Naharlagun,Arunachal Pradesh,27.103358,93.679645,200.0,12.0,15.0,8.0,11.0,10.0,6.0,1.0
2026-09-01 23:00:00,"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,26.071318,91.87488,500.0,83.0,77.0,8.0,31.0,57.0,18.0,4.0
2026-09-01 23:00:00,"IITG, Guwahati - PCBA",Guwahati,Assam,26.2028636,91.70046436,,,,1.0,33.0,69.0,18.0,1.0
2026-09-01 23:00:00,"LGBI Airport, Guwahati - PCBA",Guwahati,Assam,26.10887,91.589544,400.0,71.0,56.0,21.0,11.0,34.0,13.0,6.0
2026-09-01 23:00:00,"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,26.1875,91.744194,,,,2.0,30.0,8.0,15.0,1.0
2026-09-01 23:00:00,"Railway Colony, Guwahati - PCBA",Guwahati,Assam,26.181742,91.78063,,,,3.0,9.0,7.0,11.0,1.0
2026-09-01 23:00:00,"Christianpatty, Nagaon - PCBA",Nagaon,Assam,26.349082,92.68449,300.0,46.0,39.0,1.0,11.0,17.0,10.0,4.0
2026-09-01 23:00:00,"Bata Chowk, Nalbari - PCBA",Nalbari,Assam,26.446912,91.439057,324.0,81.0,60.0,15.0,8.0,21.0,19.0,6.0
2026-09-01 23:00:00,"Tarapur, Silchar - PCBA",Silchar,Assam,24.82827,92.79525,400.0,36.0,50.0,18.0,6.0,34.0,5.0,1.0
2026-09-01 23:00:00,"Girls College, Sivasagar - PCBA",Sivasagar,Assam,26.987634,94.636574,271.0,20.0,27.0,10.0,9.0,15.0,36.0,3.0
2026-09-01 23:00:00,"Kharahiya Basti, Araria - BSPCB",Araria,Bihar,26.146529,87.454184,382.0,20.0,26.0,15.0,21.0,31.0,39.0,4.0
2026-09-01 23:00:00,"New DM Office, Arrah - BSPCB",Arrah,Bihar,25.5626095,84.663264,,,,,,53.0,8.0,
2026-09-01 23:00:00,"Lohiyanagar, Begusarai - BSPCB",Begusarai,Bihar,25.42742023,86.13886079,500.0,18.0,35.0,9.0,18.0,83.0,,3.0
2026-09-01 23:00:00,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.251013,86.989001,371.0,60.0,102.0,12.0,22.0,29.0,19.0,4.0
2026-09-01 23:00:00,"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.265194,87.012947,500.0,64.0,51.0,16.0,51.0,105.0,20.0,4.0
2026-09-01 23:00:00,"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,25.204762,85.51496,,,,,,,2.0,3.0
2026-09-01 23:00:00,"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,25.7808257,84.7446768,500.0,92.0,112.0,1.0,28.0,91.0,2.0,1.0
2026-09-01 23:00:00,"Collectorate, Gaya - BSPCB",Gaya,Bihar,24.7955,84.9994,316.0,141.0,,9.0,7.0,,,
2026-09-01 23:00:00,"Kareemganj, Gaya - BSPCB",Gaya,Bihar,24.792403,84.992416,456.0,166.0,,,41.0,43.0,28.0,1.0
2026-09-01 23:00:00,"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,24.762518,84.982348,400.0,16.0,19.0,21.0,8.0,34.0,16.0,5.0
2026-09-01 23:00:00,"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,25.697189,85.2459,336.0,18.0,30.0,20.0,4.0,23.0,25.0,14.0
2026-09-01 23:00:00,"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,25.560083,87.553265,500.0,25.0,25.0,2.0,24.0,96.0,28.0,1.0
2026-09-01 23:00:00,"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,Bihar,26.0881305,87.93840336,419.0,51.0,44.0,7.0,7.0,37.0,33.0,3.0
2026-09-01 23:00:00,"Forest Rest House, Manguraha - BSPCB",Manguraha,Bihar,27.308328,84.531742,,,,8.0,,31.0,33.0,
2026-09-01 23:00:00,"Gandak Colony, Motihari - BSPCB",Motihari,Bihar,26.63086,84.90051,243.0,19.0,19.0,3.0,3.0,13.0,52.0,1.0
2026-09-01 23:00:00,"Town Hall, Munger - BSPCB",Munger,Bihar,25.376776,86.471523,,,,12.0,74.0,36.0,14.0,3.0
2026-09-01 23:00:00,"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.11442,85.39813,286.0,20.0,30.0,8.0,5.0,16.0,22.0,16.0
2026-09-01 23:00:00,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.1403345,85.3650192,330.0,32.0,38.0,4.0,14.0,22.0,36.0,1.0
2026-09-01 23:00:00,"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,25.586562,85.043586,469.0,20.0,30.0,23.0,6.0,45.0,95.0,9.0
2026-09-01 23:00:00,"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,25.592539,85.227158,,,,6.0,13.0,38.0,62.0,6.0
2026-09-01 23:00:00,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,25.610369,85.132568,257.0,57.0,,2.0,17.0,14.0,41.0,
2026-09-01 23:00:00,"Muradpur, Patna - BSPCB",Patna,Bihar,25.619651,85.147382,494.0,47.0,68.0,4.0,9.0,49.0,55.0,5.0
2026-09-01 23:00:00,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,25.599486,85.113666,341.0,19.0,23.0,31.0,10.0,24.0,27.0,3.0
2026-09-01 23:00:00,"Samanpura, Patna - BSPCB",Patna,Bihar,25.596727,85.085624,336.0,75.0,100.0,24.0,3.0,23.0,23.0,5.0
2026-09-01 23:00:00,"Mariam Nagar, Purnia - BSPCB",Purnia,Bihar,25.366336,87.117468,,,,18.0,16.0,57.0,31.0,4.0
2026-09-01 23:00:00,"Police Line, Saharsa - BSPCB",Saharsa,Bihar,25.892357,86.590325,463.0,21.0,71.0,7.0,18.0,44.0,18.0,4.0
2026-09-01 23:00:00,"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,25.859655,85.77944,,,,,,14.0,6.0,
2026-09-01 23:00:00,"Dada Peer, Sasaram - BSPCB",Sasaram,Bihar,24.952822,84.002396,259.0,108.0,60.0,2.0,5.0,12.0,,3.0
2026-09-01 23:00:00,"Chitragupta Nagar, Siwan - BSPCB",Siwan,Bihar,26.2271665,84.3570427,500.0,69.0,91.0,2.0,3.0,65.0,7.0,1.0
2026-09-01 23:00:00,"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,30.735567,76.775714,438.0,31.0,47.0,3.0,6.0,40.0,12.0,4.0
2026-09-01 23:00:00,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.751462,76.762879,,,,,,26.0,15.0,
2026-09-01 23:00:00,"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,30.719859,76.738637,425.0,12.0,36.0,34.0,4.0,38.0,18.0,5.0
2026-09-01 23:00:00,"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,21.194815,81.31477,257.0,26.0,53.0,9.0,4.0,14.0,14.0,4.0
2026-09-01 23:00:00,"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,21.185571,81.343175,347.0,15.0,25.0,16.0,10.0,25.0,11.0,1.0
2026-09-01 23:00:00,"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh,21.224231,81.40835,371.0,45.0,56.0,24.0,14.0,29.0,8.0,9.0
2026-09-01 23:00:00,"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh,22.08815,82.13737,475.0,32.0,37.0,22.0,10.0,46.0,,
2026-09-01 23:00:00,"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh,22.118125,83.140608,318.0,33.0,35.0,11.0,20.0,20.0,37.0,2.0
2026-09-01 23:00:00,"Rampur, Korba - CECB",Korba,Chhattisgarh,22.368195,82.746431,463.0,18.0,25.0,20.0,10.0,44.0,20.0,1.0
2026-09-01 23:00:00,"Urja Nagar, Korba - CECB",Korba,Chhattisgarh,22.348441,82.549611,312.0,15.0,23.0,4.0,10.0,19.0,5.0,1.0
2026-09-01 23:00:00,"OP Jindal School, Kunjemura - CECB",Kunjemura,Chhattisgarh,22.12665,83.483212,330.0,10.0,34.0,9.0,14.0,22.0,4.0,2.0
2026-09-01 23:00:00,"Govt. Higher Secondary School, Milupara - CECB",Milupara,Chhattisgarh,22.1910172,83.5197009,324.0,24.0,24.0,22.0,15.0,21.0,38.0,2.0
2026-09-01 23:00:00,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,21.258815,81.578979,312.0,24.0,44.0,1.0,4.0,19.0,,2.0
2026-09-01 23:00:00,"Bhatagaon New ISBT, Raipur - CECB",Raipur,Chhattisgarh,21.219665,81.630094,444.0,15.0,40.0,13.0,3.0,41.0,3.0,2.0
2026-09-01 23:00:00,"Krishak Nagar, Raipur - CECB",Raipur,Chhattisgarh,21.237755,81.705301,214.0,30.0,45.0,7.0,8.0,11.0,3.0,2.0
2026-09-01 23:00:00,"Siltara Phase-II, Raipur - CECB",Raipur,Chhattisgarh,21.371751,81.664929,300.0,35.0,73.0,24.0,13.0,17.0,3.0,2.0
2026-09-01 23:00:00,"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,Chhattisgarh,22.06631475,83.33820077,257.0,27.0,21.0,23.0,5.0,14.0,,1.0
2026-09-01 23:00:00,"Alipur, Delhi - DPCC",Delhi,Delhi,28.815329,77.15301,,,,,,46.0,21.0,
2026-09-01 23:00:00,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.695381,77.181665,500.0,56.0,118.0,24.0,26.0,100.0,4.0,6.0
2026-09-01 23:00:00,"Aya Nagar, Delhi - IITM",Delhi,Delhi,28.4706914,77.1099364,286.0,45.0,66.0,24.0,,16.0,39.0,
2026-09-01 23:00:00,"Bawana, Delhi - DPCC",Delhi,Delhi,28.7762,77.051074,500.0,60.0,94.0,8.0,9.0,56.0,16.0,6.0
2026-09-01 23:00:00,"Burari Crossing, Delhi - IITM",Delhi,Delhi,28.7256504,77.2011573,500.0,50.0,93.0,42.0,,107.0,73.0,
